anat_id	filename	is_a	part_of	comment	dbxrefs	label
fw138205	720575940628857210	adult neuron	female organism|adult brain	status-NoneFlyWire classification: flow-intrinsic, superclass-central, class-None, subclass-None, cell type-None, hemibrain type-PS180. FBbt_id annotation-FBbt_20001935. supervoxel id-78112261444987077	FlyWire:720575940628857210	FlyWire:720575940628857210
fw000001	720575940626838909	adult neuron	female organism|adult brain	status-NoneFlyWire classification: flow-intrinsic, superclass-central, class-None, subclass-None, cell type-None, hemibrain type-None. FBbt_id annotation-None. supervoxel id-82475466912542440	FlyWire:720575940626838909	FlyWire:720575940626838909
fw000002	720575940626046919	adult neuron	female organism|adult brain	status-NoneFlyWire classification: flow-intrinsic, superclass-central, class-None, subclass-None, cell type-None, hemibrain type-AVLP429. FBbt_id annotation-FBbt_20000538. supervoxel id-83038623024880664	FlyWire:720575940626046919	FlyWire:720575940626046919
fw000003	720575940630311383	adult neuron	female organism|adult brain	status-NoneFlyWire classification: flow-intrinsic, superclass-central, class-None, subclass-None, cell type-None, hemibrain type-AVLP151. FBbt_id annotation-FBbt_20000260. supervoxel id-79801523353604463	FlyWire:720575940630311383	FlyWire:720575940630311383
fw000004	720575940633370649	adult neuron	female organism|adult brain	status-NoneFlyWire classification: flow-intrinsic, superclass-visual_projection, class-None, subclass-None, cell type-None, hemibrain type-LC27. FBbt_id annotation-FBbt_00051248. supervoxel id-83038554439606237	FlyWire:720575940633370649	FlyWire:720575940633370649
fw000005	720575940638709326	adult neuron	female organism|adult brain	status-NoneFlyWire classification: flow-intrinsic, superclass-visual_projection, class-None, subclass-None, cell type-None, hemibrain type-None. FBbt_id annotation-None. supervoxel id-83038760597920695	FlyWire:720575940638709326	FlyWire:720575940638709326
fw000006	720575940621207211	adult neuron	female organism|adult brain	status-NoneFlyWire classification: flow-intrinsic, superclass-visual_projection, class-None, subclass-None, cell type-None, hemibrain type-None. FBbt_id annotation-None. supervoxel id-83038760597921847	FlyWire:720575940621207211	FlyWire:720575940614754797
fw000007	720575940622660490	adult neuron	female organism|adult brain	status-NoneFlyWire classification: flow-intrinsic, superclass-visual_projection, class-None, subclass-None, cell type-None, hemibrain type-None. FBbt_id annotation-None. supervoxel id-82898366706785527	FlyWire:720575940622660490	FlyWire:720575940622660490
fw000008	720575940659799937	adult neuron	female organism|adult brain	status-NoneFlyWire classification: flow-intrinsic, superclass-visual_projection, class-None, subclass-None, cell type-None, hemibrain type-VS. FBbt_id annotation-None. supervoxel id-82968323536800697	FlyWire:720575940659799937	FlyWire:720575940659799937
fw000009	720575940626729349	adult neuron	female organism|adult brain	status-NoneFlyWire classification: flow-intrinsic, superclass-visual_projection, class-None, subclass-None, cell type-None, hemibrain type-LPC1. FBbt_id annotation-FBbt_00111767. supervoxel id-82405373583145252	FlyWire:720575940626729349	FlyWire:720575940626729349
fw000010	720575940643249608	adult neuron	female organism|adult brain	status-NoneFlyWire classification: flow-intrinsic, superclass-central, class-None, subclass-None, cell type-None, hemibrain type-None. FBbt_id annotation-None. supervoxel id-82475604418645257	FlyWire:720575940643249608	FlyWire:720575940643249608
fw000011	720575940619414918	adult neuron	female organism|adult brain	status-NoneFlyWire classification: flow-intrinsic, superclass-visual_projection, class-None, subclass-None, cell type-None, hemibrain type-LC18. FBbt_id annotation-FBbt_00111753. supervoxel id-82897267531093292	FlyWire:720575940619414918	FlyWire:720575940619414918
fw000012	720575940629394885	adult neuron	female organism|adult brain	status-NoneFlyWire classification: flow-intrinsic, superclass-central, class-None, subclass-None, cell type-None, hemibrain type-None. FBbt_id annotation-None. supervoxel id-82757629016901138	FlyWire:720575940629394885	FlyWire:720575940629394885
fw138185	720575940616021810	adult neuron	female organism|adult brain	status-NoneFlyWire classification: flow-intrinsic, superclass-optic, class-ME, subclass-None, cell type-Dm9, hemibrain type-None. FBbt_id annotation-None. supervoxel id-82266078734525596	FlyWire:720575940616021810	FlyWire:720575940624372360
fw138186	720575940605637838	adult neuron	female organism|adult brain	status-NoneFlyWire classification: flow-intrinsic, superclass-optic, class-ME>LA, subclass-None, cell type-T1, hemibrain type-None. FBbt_id annotation-None. supervoxel id-76847616914239163	FlyWire:720575940605637838	FlyWire:720575940623875341
fw138187	720575940628650502	adult neuron	female organism|adult brain	status-NoneFlyWire classification: flow-intrinsic, superclass-optic, class-LOP>ME.LO, subclass-None, cell type-None, hemibrain type-None. FBbt_id annotation-None. supervoxel id-77269348611841512	FlyWire:720575940628650502	FlyWire:720575940623248972
fw138188	720575940624280059	adult neuron	female organism|adult brain	status-NoneFlyWire classification: flow-intrinsic, superclass-optic, class-ME>LA, subclass-None, cell type-T1, hemibrain type-None. FBbt_id annotation-None. supervoxel id-82055316233164724	FlyWire:720575940624280059	FlyWire:720575940615837846
fw138189	720575940618533255	adult neuron	female organism|adult brain	status-NoneFlyWire classification: flow-intrinsic, superclass-optic, class-ME, subclass-None, cell type-Dm9, hemibrain type-None. FBbt_id annotation-None. supervoxel id-83178192483501089	FlyWire:720575940618533255	FlyWire:720575940622110374
fw138190	720575940624375140	adult neuron	female organism|adult brain	status-NoneFlyWire classification: flow-intrinsic, superclass-optic, class-ME, subclass-None, cell type-Dm9, hemibrain type-None. FBbt_id annotation-None. supervoxel id-82477185033650193	FlyWire:720575940624375140	FlyWire:720575940626105639
fw138191	720575940622180997	adult neuron	female organism|adult brain	status-NoneFlyWire classification: flow-intrinsic, superclass-optic, class-ME>LA, subclass-None, cell type-T1, hemibrain type-None. FBbt_id annotation-None. supervoxel id-76565866992501377	FlyWire:720575940622180997	FlyWire:720575940621819489
fw138192	720575940614263960	adult neuron	female organism|adult brain	status-NoneFlyWire classification: flow-intrinsic, superclass-optic, class-ME>LA, subclass-None, cell type-T1, hemibrain type-None. FBbt_id annotation-None. supervoxel id-82266422466020226	FlyWire:720575940614263960	FlyWire:720575940634537441
fw138193	720575940620779636	adult neuron	female organism|adult brain	status-NoneFlyWire classification: flow-intrinsic, superclass-optic, class-ME>LA, subclass-None, cell type-T1, hemibrain type-None. FBbt_id annotation-None. supervoxel id-82196053788523887	FlyWire:720575940620779636	FlyWire:720575940624365508
fw138194	720575940621709606	adult neuron	female organism|adult brain	status-NoneFlyWire classification: flow-intrinsic, superclass-optic, class-ME, subclass-None, cell type-Dm9, hemibrain type-None. FBbt_id annotation-None. supervoxel id-83178879543881051	FlyWire:720575940621709606	FlyWire:720575940623152734
fw138195	720575940616273437	adult neuron	female organism|adult brain	status-NoneFlyWire classification: flow-intrinsic, superclass-optic, class-ME, subclass-None, cell type-Dm9, hemibrain type-None. FBbt_id annotation-None. supervoxel id-82688085040733838	FlyWire:720575940616273437	FlyWire:720575940626042126
fw138196	720575940630920019	adult neuron	female organism|adult brain	status-NoneFlyWire classification: flow-intrinsic, superclass-optic, class-ME, subclass-None, cell type-Dm9, hemibrain type-None. FBbt_id annotation-None. supervoxel id-82969491230810603	FlyWire:720575940630920019	FlyWire:720575940624510099
fw138197	720575940624813699	adult neuron	female organism|adult brain	status-NoneFlyWire classification: flow-intrinsic, superclass-optic, class-optic_lobes, subclass-None, cell type-None, hemibrain type-None. FBbt_id annotation-None. supervoxel id-77621329704545147	FlyWire:720575940624813699	FlyWire:720575940625088181
fw138198	720575940609560014	adult neuron	female organism|adult brain	status-NoneFlyWire classification: flow-intrinsic, superclass-optic, class-LOP>ME.LO, subclass-None, cell type-None, hemibrain type-None. FBbt_id annotation-None. supervoxel id-76143586277730305	FlyWire:720575940609560014	FlyWire:720575940628948220
fw138199	720575940638753508	adult neuron	female organism|adult brain	status-outlier_bioFlyWire classification: flow-intrinsic, superclass-optic, class-LO, subclass-tangential, cell type-None, hemibrain type-Li11. FBbt_id annotation-None. supervoxel id-82967567153185579	FlyWire:720575940638753508	FlyWire:720575940621480357
fw138204	720575940577962585	adult neuron	female organism|adult brain	status-NoneFlyWire classification: flow-intrinsic, superclass-optic, class-LO, subclass-None, cell type-None, hemibrain type-None. FBbt_id annotation-None. supervoxel id-81703266421416496	FlyWire:720575940577962585	FlyWire:720575940630037008
